node_id	node_label
PCL 0015103	Exc L5-6 FEZF2 SH2D1B primary motor cortex glutamatergic neuron (Hsap)
CL 0005006	ionocyte
UBERON 0000035	primary ovarian follicle
FMA 52681	Lateral internal nasal branch of anterior ethmoidal nerve
HGNC 19911	DCAF12
UBERON 0001017	central nervous system
UBERON 0033483	lumbar spinal cord gray commissure
UBERON 0009991	lateral condyle of tibia
FMA 80076	Nerve to extensor hallucis brevis
HGNC 477	AMY2A
UBERON 0000305	amnion
CL 0001078	group 3 innate lymphoid cell, human
HGNC 14268	PCDH18
HGNC 221	ADAMTS5
PCL 0051269	LLC_268 CNS interneuron (Hsap)
FMA 12906	Anterior root of eleventh thoracic nerve
HGNC 13714	CABP5
FMA 14747	Left inferior phrenic artery
UBERON 0004335	proximal phalanx of pedal digit 4
FMA 80207	Nerve to gluteus maximus (2)
FMA 80012	Nerve to third lumbrical of foot
UBERON 0005442	abdominal external oblique muscle
UBERON 0005750	glomerular parietal epithelium
FMA 32982	Proximal epiphysis of proximal phalanx of little toe
FMA 44799	Dorsal digital nerve of fourth toe
UBERON 0034728	autonomic nerve
FMA 9178	Lamina of first thoracic vertebra
UBERON 0012196	right superior intercostal vein
FMA 37560	Diaphysis of middle phalanx of index finger
HGNC 24579	CIB2
FMA 81250	Pectoralis minor branch of lateral pectoral nerve
HGNC 3318	ELF3
UBERON 0001927	medial geniculate body
CL 0012000	astrocyte of the forebrain
FMA 51239	Inferior anastomotic vein
FMA 10094	Spinous process of twelfth thoracic vertebra
HGNC 12513	UCHL1
HGNC 1240	SUCO
FMA 80286	Nerve to extensor indicis
HGNC 6081	INS
PCL 0051245	MGE_244 medial ganglionic eminence derived interneuron (Hsap)
UBERON 0007175	inferior angle of scapula
CL 0000499	stromal cell
PCL 0051135	ULIT_134 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)
FMA 33125	Diaphysis of tibia
HGNC 16647	CXCR6
FMA 53493	Communicating branch of glossopharyngeal nerve with chorda tympani
FMA 23359	Surgical neck of humerus
UBERON 0002014	inferior hypogastric nerve plexus
FMA 20566	Penile root branch of ilioinguinal nerve
FMA 38515	Abductor pollicis longus
HGNC 2545	CTSS
FMA 23442	Lateral epicondyle of humerus
UBERON 0002048	lung
UBERON 0001808	parasympathetic ganglion
UBERON 0004322	middle phalanx of manual digit 4
FMA 323230	Labial part of orbicularis oris muscle
FMA 70777	Set of short posterior ciliary arteries
UBERON 0004332	proximal phalanx of pedal digit 1
HGNC 42872	CARMN
FMA 51071	Flexor digitorum longus
FMA 8810	Posterior ramus of sixth thoracic nerve
PCL 0051368	Splat_367 neuron (Hsap)
FMA 4654	Left subcostal artery
PCL 0051029	Fbl_28 fibroblast (Hsap)
FMA 14517	Neck of pancreas
HGNC 1757	CDH18
HGNC 14025	SLC5A7
PCL 0051331	Mmb_330 mammillary body neuron (Hsap)
FMA 26463	Pedicle of seventh cervical vertebra
FMA 4880	Right second posterior intercostal vein
FMA 67532	External carotid nerve plexus
FMA 52843	Uvular branch of lesser palatine nerve
UBERON 0004725	piriform cortex
FMA 77559	Posterior interosseous nerve
FMA 8606	Sixth intercostal nerve
PCL 0051349	Splat_348 neuron (Hsap)
UBERON 0002972	centromedian nucleus of thalamus
FMA 15800	Anterior inferior segmental tributary of middle hepatic vein
FMA 49809	Posterior septal branch of sphenopalatine artery
FMA 12899	Anterior root of fourth thoracic nerve
FMA 7751	Crest of head of fourth rib
HGNC 4171	GATA2
CL 0000887	lymph node subcapsular sinus macrophage
PCL 0015027	Inh L1 VIP KLHDC8B primary motor cortex GABAergic interneuron (Hsap)
FMA 70921	Set of lateral circumflex femoral veins
FMA 4733	Sixth anterior intercostal vein
FMA 53612	Cardiac branch of vagus nerve
UBERON 0004319	distal phalanx of pedal digit 5
HGNC 18624	FKBP11
HGNC 31401	SLC9C1
FMA 53324	Superficial buccal branch of facial nerve
UBERON 0016525	frontal lobe
UBERON 0001565	geniohyoid muscle
HGNC 24201	RPRM
UBERON 0002774	posterior transverse temporal gyrus
FMA 12220	Gray communicating ramus of first intercostal nerve
HGNC 4565	GRB14
PCL 0051437	Midi_436 midbrain-derived inhibitory neuron (Hsap)
FMA 16311	Accessory process of third lumbar vertebra
FMA 13460	Sternal head of sternocleidomastoid
FMA 68194	Lateral segmental artery
FMA 15802	Medial superior segmental tributary of left hepatic vein
HGNC 1072	BMP5
UBERON 0007717	sacral subsegment of spinal cord
FMA 10047	Superior vertebral notch of tenth thoracic vertebra
HGNC 52001	MIR3681HG
UBERON 0001494	ulnar nerve
PCL 0051264	MGE_263 medial ganglionic eminence derived interneuron (Hsap)
UBERON 0002852	ninth thoracic dorsal root ganglion
FMA 20573	Cutaneous branch of ilioinguinal nerve
CL 4030021	kidney connecting tubule beta-intercalated cell
HGNC 18874	LAT
UBERON 0001628	posterior communicating artery
PCL 0051133	Misc_132 cerebral cortex neuron (Hsap)
UBERON 0001391	popliteus muscle
FMA 82970	Communicating branch of superficial fibular nerve with sural nerve
PCL 0015046	Inh L3-5 SST GGTLC3 primary motor cortex GABAergic interneuron (Hsap)
UBERON 0001508	arch of aorta
PCL 0015002	Inh L1 LAMP5 RAB11FIP1 primary motor cortex GABAergic interneuron (Hsap)
UBERON 0002123	cortex of thymus
PCL 0051440	Midi_439 midbrain-derived inhibitory neuron (Hsap)
CL 0009016	intestinal crypt stem cell of large intestine
HGNC 29673	MFAP5
HGNC 19317	P3H2
UBERON 0022301	long ciliary nerve
PCL 0051436	Midi_435 midbrain-derived inhibitory neuron (Hsap)
FMA 54682	Pterygoid process
UBERON 8600026	chorionic villous tree
FMA 8846	Posterior ramus of third sacral nerve
UBERON 0011956	right hepatic vein
HGNC 13698	GTSE1
HGNC 18082	TRPV2
FMA 4567	Left tenth posterior intercostal artery
CL 4033007	brush cell of epithelium of lobar bronchus
UBERON 0035539	esophageal artery
UBERON 0001561	subcostal artery
UBERON 0018683	lumbar splanchnic nerve
UBERON 0004203	cortical collecting duct
FMA 49506	Inferior tympanic artery
FMA 264945	Capillary plexus of mucosa of small intestine
HGNC 11049	SLC6A3
PCL 0051225	EMSN_224 medium spiny neuron (Hsap)
FMA 6202	Branch of phrenic nerve to mediastinal pleura
HGNC 12692	VIM
UBERON 0007153	superior epigastric artery
CL 0000636	Mueller cell
UBERON 0010953	nasalis muscle
PCL 0051419	Splat_418 neuron (Hsap)
UBERON 0013761	cervical cavity
HGNC 4823	HBA1
FMA 24280	Superior articular process of third cervical vertebra
FMA 15431	Lateral superior segmental branch of left portal vein
FMA 14818	Appendicular artery
UBERON 0000442	right testicular vein
FMA 14762	Right ovarian artery
UBERON 0008598	risorius muscle
FMA 50863	Optic nerve
HGNC 23400	SEC11C
UBERON 0014541	thoracic division of spinal cord central canal
UBERON 0001052	rectum
PCL 0051049	Oligo_48 oligodendrocyte (Hsap)
FMA 44771	Deep fibular nerve
PCL 0015055	Inh L5-6 SST C4orf26 primary motor cortex GABAergic interneuron (Hsap)
FMA 6426	Fourth sacral nerve
UBERON 0001611	sublingual artery
HGNC 4831	HBG1
CL 4023008	intratelencephalic-projecting glutamatergic cortical neuron
FMA 52246	Vestibulocochlear artery
UBERON 0009009	carotid sinus nerve
FMA 8727	Anterior ramus of seventh cervical nerve
HGNC 24692	FCAMR
PCL 0051241	MGE_240 sst GABAergic cortical interneuron (Hsap)
UBERON 0002844	eighth cervical dorsal root ganglion
PCL 0051053	Astro_52 astrocyte (Hsap)
FMA 10073	Transverse process of eleventh thoracic vertebra
HGNC 11935	CD40LG
UBERON 0003962	pterygopalatine ganglion
HGNC 12156	TRBC1
FMA 8792	Posterior ramus of third cervical nerve
HGNC 9229	PLPP3
FMA 53071	Branch of mandibular nerve to otic ganglion
PCL 0051155	Amex_154 amygdala excitatory neuron (Hsap)
HGNC 4274	GJA1
CL 0009089	lung pericyte
FMA 14745	Left fourth lumbar artery
UBERON 0035549	vasculature of integument
PCL 0015039	Inh L3-5 VIP TAC3 primary motor cortex GABAergic interneuron (Hsap)
UBERON 0009040	deep circumflex iliac artery
HGNC 4711	GZMK
UBERON 0001198	superior suprarenal artery
UBERON 0004603	rib 3
FMA 52718	Branch of posterior ethmoidal nerve to ethmoidal sinus
HGNC 15710	LDB3
FMA 65311	Anterior branch of medial cutaneous nerve of forearm
FMA 8506	Costal groove of eleventh rib
FMA 81163	Articular branch of obturator nerve
PCL 0051384	Splat_383 neuron (Hsap)
HGNC 1929	CHGA
UBERON 0016405	pulmonary capillary
FMA 7061	Anterior ramus of first cervical nerve
HGNC 2064	CLIC3
HGNC 35145	HSPD1P8
HGNC 9220	POU4F3
HGNC 6017	IL5RA
FMA 4976	Left eighth posterior intercostal vein
HGNC 13361	MEPE
HGNC 7197	MOG
FMA 12956	Anterior root of first lumbar nerve
FMA 33021	Diaphysis of distal phalanx of fourth toe
HGNC 12104	TRAV11
HGNC 15195	OR51E2
UBERON 0001219	ileocolic vein
FMA 13304	Head of humerus
HGNC 26076	MCUB
HGNC 13517	CLIC5
HGNC 6164	ITGBL1
UBERON 8600013	submucosal gland collecting duct
HGNC 409	ALDH1A3
FMA 8733	Anterior ramus of fifth cervical nerve
PCL 0051195	CA4_194 hippocampal CA4 neuron (Hsap)
FMA 23065	Acromial branch of thoraco-acromial artery
HGNC 20396	PILRA
HGNC 5475	IGFBP6
UBERON 0002383	supraspinatus muscle
UBERON 0007329	pancreatic duct
UBERON 0016402	mesocolic lymph node
FMA 32985	Proximal epiphysis of middle phalanx of little toe
HGNC 26002	CASZ1
PCL 0051313	URL_312 cerebellar granule cell (Hsap)
HGNC 14872	ASPN
HGNC 28036	FAM178B
CL 0002095	hilus cell of ovary
FMA 52797	Nasopalatine nerve
HGNC 6342	KIT
UBERON 0012319	posterior ethmoidal artery
FMA 52731	Ganglionic branch of maxillary nerve to pterygopalatine ganglion
FMA 37529	Proximal epiphysis of distal phalanx of ring finger
PCL 0015026	Inh L2 VIP SLC6A16 primary motor cortex GABAergic interneuron (Hsap)
FMA 49157	Sphincter pupillae
CL 1000279	smooth muscle cell of large intestine
UBERON 0001363	great saphenous vein
HGNC 3560	FABP5
UBERON 0001379	vastus lateralis
UBERON 0009885	interlobar artery
FMA 65647	Meningeal branch of fourth cervical nerve
UBERON 0001251	marginal zone of spleen
FMA 8430	Angle of tenth rib
PCL 0051262	MGE_261 pvalb GABAergic cortical interneuron (Hsap)
FMA 26520	Superior vertebral notch of seventh cervical vertebra
UBERON 0000370	adductor magnus
UBERON 0001509	triceps brachii
CL 0000648	kidney granular cell
UBERON 0000052	fornix of brain
FMA 52823	Posterior inferior nasal nerve
HGNC 484	ANGPT1
FMA 70480	Posterior inferior pancreaticoduodenal artery
HGNC 2428	YBX3
FMA 8345	Body of ninth rib
HGNC 1434	CALB1
CL 0000540	neuron
FMA 80015	Nerve to fourth lumbrical of foot
FMA 77439	Artery of central sulcus
HGNC 3229	EGF
HGNC 2700	DCLK1
FMA 70445	Posterior superior segmental hepatic artery
PCL 0051350	Splat_349 neuron (Hsap)
UBERON 0001245	anus
UBERON 0002397	maxilla
UBERON 0000400	jejunal epithelium
CL 0002255	stromal cell of endometrium
FMA 43962	Fourth plantar metatarsal artery
FMA 52833	Coronoid process of mandible
FMA 37514	Proximal epiphysis of middle phalanx of middle finger
FMA 18826	Middle rectal artery
FMA 76644	Tuberosity of fifth metatarsal bone
FMA 44688	Sural nerve
HGNC 7124	MLANA
UBERON 0001900	ventral thalamus
UBERON 0001003	skin epidermis
CL 0002592	smooth muscle cell of the coronary artery
FMA 4739	Third anterior intercostal vein
FMA 9963	Superior articular process of sixth thoracic vertebra
UBERON 0035966	scleral lamina cribrosa
FMA 33015	Diaphysis of proximal phalanx of fourth toe
HGNC 10832	SH3GL3
UBERON 0002006	cortex of lymph node
FMA 10042	Superior costal facet of body of tenth thoracic vertebra
HGNC 5951	CADM1
HGNC 10307	RPL17
HGNC 1569	CCK
UBERON 0001590	pericardiacophrenic vein
FMA 44863	Medial proper palmar digital branch of median nerve to index finger
PCL 0015057	Inh L5-6 SST KLHL1 primary motor cortex GABAergic interneuron (Hsap)
HGNC 11326	SSR4
HGNC 13733	CDH23
UBERON 0006838	ventral ramus of spinal nerve
HGNC 52261	GAS1RR
CL 0009086	endothelial cell of respiratory system lymphatic vessel
FMA 84175	Branch of axillary nerve to glenohumeral joint
FMA 44716	Medial plantar nerve
FMA 52680	Medial internal nasal branch of anterior ethmoidal nerve
UBERON 0001454	distal tarsal bone 3
FMA 4969	Left ninth posterior intercostal vein
FMA 22536	Middle genicular artery
HGNC 41081	SGO1-AS1
HGNC 10854	SHOX2
FMA 9535	Myocardium of right ventricle
FMA 44868	Medial proper palmar digital branch of median nerve to middle finger
PCL 0051073	Epen_72 ependymal cell (Hsap)
HGNC 5962	IL10
CL 0000242	Merkel cell
CL 0002410	pancreatic stellate cell
UBERON 0018397	posterior superior alveolar artery
FMA 9950	Superior costal facet of body of sixth thoracic vertebra
HGNC 740	ASCL3
UBERON 0014638	lumbar spinal cord dorsal horn
UBERON 0003038	thoracic spinal cord
UBERON 0000981	femur
UBERON 0004911	epithelium of female gonad
HGNC 9327	PPY
UBERON 0010396	afferent lymphatic vessel
HGNC 12053	TRAJ24
UBERON 0002072	hypodermis
FMA 13379	Rhomboid major
HGNC 4931	HLA-A
HGNC 7859	NMU
HGNC 16892	CD96
UBERON 0006729	liver perisinusoidal space
PCL 0015014	Inh L1 LAMP5 BMP2 primary motor cortex GABAergic interneuron (Hsap)
UBERON 0001591	thymic vein
PCL 0051316	LRL_315 neuron (Hsap)
FMA 65514	Esophageal branch of vagal trunk
FMA 80264	Nerve to adductor pollicis
UBERON 0000955	brain
PCL 0051074	Epen_73 ependymal cell (Hsap)
UBERON 0003471	artery of lower lip
FMA 37526	Proximal epiphysis of middle phalanx of ring finger
HGNC 16189	LINC00261
UBERON 0001991	cervical ganglion
HGNC 4938	HLA-DPA1
HGNC 43559	LINC00508
HGNC 14467	SLC26A7
UBERON 8410033	lymph node vein
HGNC 10725	SEMA3C
FMA 16289	Inferior vertebral notch of first lumbar vertebra
HGNC 6018	IL6
PCL 0051071	Epen_70 ependymal cell (Hsap)
UBERON 0006464	S5 segment of sacral spinal cord
HGNC 52895	LINC02055
FMA 44858	Medial proper palmar digital branch of median nerve to thumb
UBERON 0000975	sternum
FMA 82619	Nerve to helicis major
CL 0000866	thymic macrophage
UBERON 8410064	submucous nerve plexus of small intestine
HGNC 1241	C1QA
HGNC 11374	STC2
CL 0000033	apocrine cell
FMA 4799	Left second posterior intercostal vein
UBERON 0004086	brain ventricle
HGNC 4587	GRIN2C
CL 0000649	prickle cell
FMA 44804	Dorsal digital nerve of little toe
HGNC 37261	DTHD1
FMA 53256	Gingival branch of mental nerve
HGNC 404	ALDH2
HGNC 7849	NME1
FMA 46753	Temporoparietalis
FMA 16274	Superior vertebral notch of third lumbar vertebra
CL 0000824	mature natural killer cell
FMA 82560	Nerve proper to mylohyoid
HGNC 27363	ITPRID1
FMA 24306	Transverse foramen of fifth cervical vertebra
UBERON 0001546	posterior tibial vein
FMA 80289	Nerve to extensor pollicis longus
CL 0017011	hillock cell of prostatic urethral epithelium
FMA 10078	Inferior articular process of eleventh thoracic vertebra
HGNC 30620	PDGFD
HGNC 11068	SLC8A1
FMA 80270	Nerve to deep head of flexor pollicis brevis
PCL 0015054	Inh L5-6 SST DNAJC14 primary motor cortex GABAergic interneuron (Hsap)
FMA 9227	Superior articular process of third thoracic vertebra
PCL 0051345	Splat_344 neuron (Hsap)
FMA 53331	Communicating branch of superficial buccal branch of facial nerve with infratrochlear nerve
UBERON 0006958	great vein of heart
UBERON 0003228	supinator muscle
HGNC 1073	BMP6
PCL 0051416	Splat_415 neuron (Hsap)
FMA 4872	Right ninth posterior intercostal vein
HGNC 24149	HES4
UBERON 0011189	lamina propria of large intestine
FMA 52628	Lacrimal nerve
UBERON 0002260	ventral root of spinal cord
FMA 85111	Medial proper palmar digital artery of middle finger
UBERON 0022300	nasociliary nerve
UBERON 0004327	middle phalanx of pedal digit 5
UBERON 0006456	T8 segment of thoracic spinal cord
UBERON 0004611	rib 12
PCL 0015116	Exc L5-6 FEZF2 IFNG-AS1 primary motor cortex glutamatergic neuron (Hsap)
FMA 81198	Nerve to long head of triceps brachii
HGNC 3468	ESR2
HGNC 4086	GABRG1
CL 0000625	CD8-positive, alpha-beta T cell
FMA 81285	Anterior branch of axillary nerve
UBERON 0004614	mammalian cervical vertebra 5
HGNC 18866	KCNT2
CL 4028004	alveolar type 1 fibroblast cell
UBERON 0006567	right ventricle myocardium
HGNC 32017	ACSM2A
FMA 37682	Short head of biceps brachii
HGNC 11919	CD40
FMA 9263	Transverse process of fourth thoracic vertebra
UBERON 0001412	common palmar digital vein
HGNC 12524	UGCG
HGNC 6715	LTBP2
UBERON 0002738	isthmus of cingulate gyrus
UBERON 0012195	left superior intercostal vein
PCL 0051308	CBI_307 cerebellar inhibitory GABAergic interneuron (Hsap)
HGNC 6421	KRT15
UBERON 0007693	caroticotympanic artery
HGNC 42435	ADAMTS9-AS2
HGNC 7941	NPPC
HGNC 7596	MYO1B
HGNC 12723	VSX1
FMA 4183	Anterior radicular branch of posterior intercostal artery
FMA 53107	Lateral pterygoid nerve
UBERON 0014716	interlobular duct
FMA 53189	Masseteric nerve proper
FMA 44777	Medial terminal branch of deep fibular nerve
PCL 0051123	ULIT_122 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)
UBERON 0002686	angular gyrus
UBERON 0000303	adductor longus
UBERON 0002240	spinal cord
FMA 8342	Inferior articular facet of head of ninth rib
FMA 38453	Pronator quadratus
UBERON 0001308	external iliac artery
UBERON 0011140	superficial part of masseter muscle
FMA 6247	Bronchial branch of vagus nerve
CL 4023062	dentate gyrus neuron
FMA 6037	First thoracic nerve
HGNC 4883	CFH
CL 0017004	telocyte
PCL 0051198	CA4_197 hippocampal CA4 neuron (Hsap)
HGNC 5019	HMX3
HGNC 30619	SPHKAP
HGNC 2505	CTLA4
HGNC 16837	LY86
UBERON 0004212	glomerular capillary
HGNC 3372	EOMES
HGNC 3703	FHL2
HGNC 25026	PLPP5
UBERON 0006922	cervix squamous epithelium
HGNC 31713	CLEC12A
PCL 0051283	CGE_282 caudal ganglionic eminence derived interneuron (Hsap)
PCL 0051207	MSN_206 medium spiny neuron (Hsap)
UBERON 0002188	respiratory bronchiole
FMA 8125	Inferior articular facet of head of eighth rib
FMA 9284	Interlobar portion of left pulmonary artery
UBERON 0011949	endometrium luminal epithelium
FMA 7758	Tubercle of fourth rib
UBERON 0001990	middle cervical ganglion
UBERON 0014644	cerebrocerebellum
CL 1001432	kidney collecting duct intercalated cell
UBERON 0035435	right suprarenal vein
FMA 6483	Tenth thoracic ganglion
HGNC 17362	ARID5B
HGNC 15979	TP63
UBERON 0034965	middle thyroid vein
FMA 50784	Sinus confluence
PCL 0051219	MSN_218 medium spiny neuron (Hsap)
UBERON 0014547	sacral division of spinal cord central canal
CL 0000764	erythroid lineage cell
CL 0010008	cardiac endothelial cell
FMA 6716	Esophageal branch of posterior vagal trunk
UBERON 0001322	sciatic nerve
UBERON 0001358	perineal artery
UBERON 0001072	posterior vena cava
FMA 69798	Posterior division of internal iliac artery
HGNC 6008	IL2RA
HGNC 12046	TRAJ18
CL 0000561	amacrine cell
CL 2000040	bladder microvascular endothelial cell
CL 0000244	transitional epithelial cell
FMA 53349	Nerve to zygomaticus major
FMA 53377	Branch of temporal branch of facial nerve to orbicularis oculi
UBERON 0001095	caudal vertebra
PCL 0051319	LRL_318 neuron (Hsap)
PCL 0015091	Exc L3-5 RORB RPRM primary motor cortex glutamatergic neuron (Hsap)
UBERON 0001094	sacral vertebra
PCL 0051140	DLIT_139 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)
UBERON 0034986	sacral nerve plexus
HGNC 9218	POU4F1
UBERON 0006453	T5 segment of thoracic spinal cord
UBERON 0002853	tenth thoracic dorsal root ganglion
FMA 44630	Calcaneal branch of fibular artery
FMA 52625	Tentorial nerve
FMA 32557	Descending part of trapezius
FMA 24300	Transverse foramen of third cervical vertebra
CL 0002329	basal epithelial cell of tracheobronchial tree
HGNC 1442	CALM1
CL 0000556	megakaryocyte
PCL 0051161	Amex_160 amygdala excitatory neuron (Hsap)
FMA 54407	Nerve to genioglossus
PCL 0051390	Splat_389 neuron (Hsap)
HGNC 6364	KLK3
HGNC 3024	DRD3
HGNC 14621	NUF2
HGNC 11802	TIA1
FMA 37502	Proximal epiphysis of middle phalanx of index finger
HGNC 9997	RGS16
UBERON 0004334	proximal phalanx of pedal digit 3
HGNC 3590	FAP
HGNC 1118	BST1
HGNC 10012	RHO
UBERON 0001142	left renal vein
UBERON 0002206	mammillary body
FMA 44869	Lateral proper palmar digital branch of median nerve to ring finger
HGNC 30840	KRT26
HGNC 12403	TTN
UBERON 0006656	deep dorsal vein of penis
HGNC 19364	RTKN2
HGNC 4392	GNAS
FMA 11277	Gray communicating ramus of second intercostal nerve
CL 1000308	fibrocyte of adventitia of ureter
FMA 233577	Retro-aortic lymph node group
HGNC 16231	CBLN4
HGNC 27683	ALKAL2
PCL 0051342	Splat_341 neuron (Hsap)
HGNC 1634	CD1A
PCL 0051276	LLC_275 CNS interneuron (Hsap)
HGNC 3036	DSC2
HGNC 26974	PDZD8
FMA 49771	Anterior superior alveolar artery
PCL 0051275	LLC_274 CNS interneuron (Hsap)
UBERON 0004621	lumbar vertebra 5
UBERON 0004196	proximal convoluted tubule segment 1
UBERON 0001184	renal artery
UBERON 0001717	spinal nucleus of trigeminal nerve
PCL 0051173	Amex_172 amygdala excitatory neuron (Hsap)
HGNC 7883	NOTCH3
PCL 0051361	Splat_360 neuron (Hsap)
HGNC 1050	BID
HGNC 7809	NGFR
CL 2000053	splenic endothelial cell
HGNC 4964	HLA-G
UBERON 0000429	enteric plexus
UBERON 0001594	azygos vein
FMA 10653	Second anterior intercostal artery
HGNC 7603	MYO5B
FMA 26529	Inferior vertebral notch of fifth cervical vertebra
FMA 37505	Proximal epiphysis of distal phalanx of index finger
FMA 26451	Inferior articular process of sixth cervical vertebra
PCL 0051340	Splat_339 neuron (Hsap)
FMA 11233	Meningeal branch of twelfth thoracic nerve
UBERON 0004633	thoracic vertebra 9
UBERON 0002250	popliteal artery
FMA 70446	Posterior inferior segmental hepatic artery
HGNC 5154	HPGD
FMA 82647	Branch of marginal mandibular branch of facial nerve to orbicularis oris
UBERON 0001318	inferior vesical vein
PCL 0051378	Splat_377 neuron (Hsap)
FMA 16197	Spinous process of second lumbar vertebra
PCL 0051157	Amex_156 amygdala excitatory neuron (Hsap)
UBERON 0011014	spinalis capitis muscle
HGNC 6722	BCAM
HGNC 4943	HLA-DQA2
UBERON 0001982	capillary
PCL 0051445	Midi_444 midbrain-derived inhibitory neuron (Hsap)
UBERON 0011309	body of mandible
FMA 20966	Prostatic part of inferior vesical artery
FMA 7206	Duodenum
UBERON 0001882	nucleus accumbens
CL 0000798	gamma-delta T cell
UBERON 0001069	head of pancreas
PCL 0051177	Misc_176 neuron (Hsap)
CL 0000484	connective tissue type mast cell
HGNC 24945	GPIHBP1
CL 4030014	kidney loop of Henle long descending thin limb inner medulla epithelial cell
UBERON 0001805	autonomic ganglion
UBERON 0005192	deferent duct artery
FMA 21896	Superficial transverse perineal muscle branch of perineal nerve
CL 0004219	A2 amacrine cell
FMA 53056	Medial pterygoid nerve
FMA 52815	Branch of greater palatine nerve to mucosa of hard palate
HGNC 3040	RCAN1
UBERON 0014610	thoracic spinal cord ventral horn
HGNC 4235	GFAP
HGNC 29663	MSMP
PCL 0051253	MGE_252 sst GABAergic cortical interneuron (Hsap)
FMA 8132	Angle of eighth rib
UBERON 0006687	median sacral vein
FMA 44980	Dorsal digital branch of radial nerve to index finger
HGNC 6066	INHBA
FMA 49621	Muscular branch of occipital artery
PCL 0051393	Splat_392 neuron (Hsap)
PCL 0051146	DLIT_145 intratelencephalic-projecting glutamatergic cortical neuron (Hsap)
UBERON 0001360	deep circumflex iliac vein
HGNC 3498	MECOM
FMA 44956	Branch of superficial branch of radial nerve
UBERON 0001635	superior cerebellar artery
FMA 0327575	Hypophysial long portal vein
CL 1000414	endothelial cell of venule
HGNC 31700	ZBTB7C
FMA 80225	Branch of median nerve to third lumbrical of hand
PCL 0051105	DLCT6b_104 glutamatergic neuron (Hsap)
HGNC 15576	MYO3B
FMA 70195	Artery of round ligament of uterus
HGNC 4944	HLA-DQB1
FMA 20840	Transverse part of perineal artery
UBERON 0002847	third thoracic dorsal root ganglion
HGNC 4712	GZMM
FMA 33051	Distal epiphysis of middle phalanx of third toe
HGNC 1695	CD7
HGNC 2438	CSF3
UBERON 0002337	endometrial stroma
UBERON 0002702	middle frontal gyrus
UBERON 0001493	axillary nerve
HGNC 16905	KLHL41
FMA 20661	Communicating branch of femoral branch of genitofemoral nerve with intermediate femoral cutaneous nerve
CL 0002201	renal beta-intercalated cell
HGNC 6106	FOXP3
HGNC 11040	SLC5A5
CL 0000575	corneal epithelial cell
UBERON 0001792	ganglionic layer of retina
FMA 33030	Diaphysis of distal phalanx of little toe
FMA 6208	Posterior ramus of posterior diaphragmatic branch of phrenic nerve
FMA 69460	Perforating femoral artery
FMA 6242	Lower branch of internal laryngeal nerve
FMA 7709	Articular facet of tubercle of third rib
UBERON 0013767	frontal process of maxilla
FMA 76736	Intervertebral vein
HGNC 43906	OTX2-AS1
UBERON 0001544	popliteal vein
HGNC 3180	EDNRB
UBERON 0004313	distal phalanx of manual digit 4
PCL 0051046	Oligo_45 oligodendrocyte (Hsap)
CL 1000309	epicardial adipocyte
HGNC 7788	NFIX
HGNC 6731	NCR1
CL 1000715	kidney cortex collecting duct intercalated cell
UBERON 0004256	hindlimb zeugopod muscle
HGNC 7035	MFAP4
HGNC 44222	NR2F2-AS1
HGNC 18901	S100A14
UBERON 0012318	anterior ethmoidal artery
FMA 6306	Ninth thoracic nerve
FMA 80292	Nerve to extensor pollicis brevis
PCL 0051347	Splat_346 neuron (Hsap)
FMA 6695	Vagal branch to tympanic membrane
FMA 9413	Subsegmental pulmonary vein
FMA 78651	Intermediate supraclavicular nerve
FMA 81185	Nerve to extensor digiti minimi
UBERON 0002788	anterior nuclear group
FMA 6708	Communicating branch of external laryngeal nerve with superior cardiac nerve
FMA 10099	Inferior articular process of twelfth thoracic vertebra
FMA 44877	Deep branch of ulnar nerve
HGNC 50526	LINC01320
UBERON 0005854	cervical spinal cord ventral column
UBERON 0022383	anterior parahippocampal gyrus
UBERON 0015481	left hepatic artery
FMA 53352	Nerve to levator labii superioris
HGNC 5344	ICAM1
HGNC 2770	DES
UBERON 0009883	medullary ray
UBERON 0001651	right pulmonary artery
HGNC 30209	PCP2
PCL 0051357	Splat_356 neuron (Hsap)
UBERON 0001070	external carotid artery
HGNC 11019	SLC34A1
FMA 53283	Occipital branch of posterior auricular nerve
CL 0002303	pigmented ciliary epithelial cell
PCL 0051249	MGE_248 sst GABAergic cortical interneuron (Hsap)
PCL 0051158	Amex_157 amygdala excitatory neuron (Hsap)
HGNC 2481	CSTA
CL 0009105	T cell zone reticular cell
FMA 26394	Superior articular process of fifth cervical vertebra
UBERON 0010181	straight venules of kidney
UBERON 0000006	islet of Langerhans
HGNC 6374	KLRC1
FMA 15420	Anterior superior segmental branch of right portal vein
PCL 0051065	Astro_64 astrocyte (Hsap)
UBERON 0001465	knee
UBERON 0002017	portal vein
CL 0002620	skin fibroblast
HGNC 4554	GPX2
HGNC 30400	SEMA3G
HGNC 10776	SFRP1
UBERON 0001153	caecum
HGNC 2594	CYP19A1
HGNC 21587	TAFA1
HGNC 26483	GLT1D1
HGNC 8773	PDE11A
FMA 18832	Vaginal artery
UBERON 0001306	cumulus oophorus
HGNC 9858	RAP1GAP
